offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
295252797,13 мар 2025,2025-03-13 00:00:00,85 000 ₽/мес.,85000,2 000 ₽,+2000,True
295252797,12 мар 2025,2025-03-12 00:00:00,83 000 ₽/мес.,83000,2 000 ₽,-2000,False
295252797,28 фев 2025,2025-02-28 00:00:00,85 000 ₽/мес.,85000,2 000 ₽,-2000,False
295252797,15 фев 2025,2025-02-15 00:00:00,87 000 ₽/мес.,87000,3 000 ₽,-3000,False
295252797,6 янв 2025,2025-01-06 00:00:00,90 000 ₽/мес.,90000,3 000 ₽,+3000,True
295252797,6 янв 2025,2025-01-06 00:00:00,87 000 ₽/мес.,87000,3 000 ₽,-3000,False
295252797,26 дек 2024,2024-12-26 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
295252797,21 дек 2024,2024-12-21 00:00:00,95 000 ₽/мес.,95000,4 000 ₽,-4000,False
295252797,15 дек 2024,2024-12-15 00:00:00,99 000 ₽/мес.,99000,9 000 ₽,+9000,True
295252797,30 июл 2024,2024-07-30 00:00:00,90 000 ₽/мес.,90000,12 000 ₽,+12000,True
295252797,20 ноя 2023,2023-11-20 00:00:00,78 000 ₽/мес.,78000,,,False
295102519,10 апр 2025,2025-04-10 00:00:00,90 000 ₽/мес.,90000,8 000 ₽,-8000,False
295102519,25 фев 2025,2025-02-25 00:00:00,98 000 ₽/мес.,98000,12 000 ₽,-12000,False
295102519,31 янв 2025,2025-01-31 00:00:00,110 000 ₽/мес.,110000,10 000 ₽,-10000,False
295102519,12 янв 2025,2025-01-12 00:00:00,120 000 ₽/мес.,120000,,,False
294961642,4 апр 2025,2025-04-04 00:00:00,95 000 ₽/мес.,95000,10 000 ₽,-10000,False
294961642,1 апр 2025,2025-04-01 00:00:00,105 000 ₽/мес.,105000,5 000 ₽,-5000,False
294961642,29 мар 2025,2025-03-29 00:00:00,110 000 ₽/мес.,110000,10 000 ₽,-10000,False
294961642,26 мар 2025,2025-03-26 00:00:00,120 000 ₽/мес.,120000,,,False
294401225,9 апр 2025,2025-04-09 00:00:00,100 000 ₽/мес.,100000,20 000 ₽,-20000,False
294401225,31 мар 2025,2025-03-31 00:00:00,120 000 ₽/мес.,120000,,,False
293023410,26 мар 2025,2025-03-26 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,-5000,False
293023410,13 фев 2025,2025-02-13 00:00:00,90 000 ₽/мес.,90000,,,False
292507169,6 апр 2025,2025-04-06 00:00:00,100 000 ₽/мес.,100000,10 000 ₽,-10000,False
292507169,4 апр 2025,2025-04-04 00:00:00,110 000 ₽/мес.,110000,5 000 ₽,+5000,True
292507169,4 апр 2025,2025-04-04 00:00:00,105 000 ₽/мес.,105000,20 000 ₽,-20000,False
292507169,4 авг 2024,2024-08-04 00:00:00,125 000 ₽/мес.,125000,48 000 ₽,+48000,True
